status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info,classification_clean,quantity_numeric,defect_labeling_error,defect_sterility_breach,defect_container_closure,defect_blister_seal,defect_moisture_ingress,defect_foreign_substance,defect_potency_issues,defect_manufacturing_defect,defect_stability_degradation,defect_documentation_error,defect_cross_contamination,defect_packaging_defect,defect_tablet_defect,primary_defect,packaging_format,dosage_form,days_to_resolution,recall_year,severity_score,estimated_cost_impact,risk_score,risk_level
Terminated,Lincoln,NE,United States,Class III,{},Drugs,65840,Novartis Consumer Health,10401 Hwy 6,N/A,68517-9626,Voluntary: Firm initiated,Letter,"Nationwide, Canada, and Panama.",D-904-2013,"Maalox Advanced Maximum Strength Antacid & Antigas (calcium carbonate and simethicone) chewable tablets, 1000 mg/60 mg, Wild Berry flavor, 65-count tablets per bottle, Distributed by: Novartis Consumer Health, Inc., Parsippany, NJ  07054-0622, NDC 0067-62791-65, UPC 3 0067-0376-65 9.","410,220 bottles",Labeling: Incorrect Or Missing Lot and/or Exp Date: The lot number and/or expiration date may be illegible on the outer plastic bottle packaging.,2013-08-06,2013-08-20,2014-11-04,20130828,"Lot #: 10093113, Exp 06/13; 10097332, Exp 08/13; 10101258, Exp 10/13; 10104632, Exp 12/13; 10108852, Exp 01/14; 10104633, 10110688, Exp 02/14; 10111944, Exp 03/14; 10114325, Exp 05/14; 10120609, 10120610, Exp 07/14; 10123084, Exp 09/14",,III,410220.0,True,False,False,False,False,False,False,False,True,False,False,False,False,labeling_error,bottles,tablets,455.0,2013,1,28710,5,Low
Terminated,Saint Louis,MO,United States,Class III,{},Drugs,70552,Nomax Inc,9735 Green Park Industrial Dr,,63123-7241,Voluntary: Firm initiated,Letter,"Nationwide and Puerto Rico, Australia, Brazil, Canada, Chile, Colombia, Dominican Republic, Honduras, Iceland, Israel, Jamaica, Trinidad and Tobago, and St. Lucia",D-0963-2015,"Fluorescein Sodium Ophthalmic Strips USP, 1.0 mg per strip, labeled as 1) FUL-GLO, individually wrapped strips, barcode (01)00317478404019; packaged in 100-count strips per carton, (NDC 17478-404-01), UPC 3 17478 40401 9, Manufactured for: Akorn, Inc., Lake Forest, IL 60045.; and 2)Fluorescein Pro Glo Strips, individually wrapped strips, barcode (01)00360843000026, packaged in 300-count strips per carton, (NDC 60843-300-50), UPC 3 60843 30050 8, Manufactured for Eye Care and Cure by Nomax, Inc., St. Louis, MO 63123.","62,691 cartons","Failed Content Uniformity Specifications: The product may not meet finished product release specifications, including the uniformity of dosage due to a packaging degradation related to the adhesive component of the paper pouch that can impact the level of fluorescein present in the strips.",2015-03-24,2015-04-21,2017-02-21,20150429,"1) FUL-GLO Lot: 8980, Exp 10/15; 9081, Exp 01/16; 9088, Exp 02/16; 9128 and 9158, Exp 03/16; 2) Pro Glo Lot: 9082, Exp 01/17",,III,62691.0,False,False,False,False,False,False,True,False,True,True,False,False,False,documentation_error,unknown,unknown,700.0,2015,1,25990,1,Low
Terminated,Concord,NC,United States,Class III,{},Drugs,75141,Mckesson Packaging Services,7101 Weddington Rd NW,N/A,28027-3412,Voluntary: Firm initiated,E-Mail,Nationwide,D-1550-2016,"Lansoprazole Delayed-Release Capsules, USP, 30 mg, packaged in 100-count cartons of 10 x 10 unit dose blister cards, Rx only, Manufactured by: Dr. Reddy's Laboratories, Inc., 200 Somerset Corporate Blvd Floor 7, Bridgewater, NJ 08807, NDC 63739-0555-10",181 unit cartons of 10 x 10 blister cards,"Labeling: Label mix-up. The inner packaging was properly labeled Omeprazole DR 40mg Capsules, but the outer secondary packaging was mislabeled Lansoprazole Delayed-Release 30mg Capsules.",2016-09-08,2016-09-28,2017-05-03,20161005,"Lot # 0111295, Exp 9/17",,III,181.0,True,False,False,False,False,False,False,False,False,False,True,True,False,cross_contamination,blisters,capsules,237.0,2016,1,17525,5,Low
Ongoing,Princeton,NJ,United States,Class I,"{'application_number': ['ANDA206880'], 'brand_name': ['LEVETIRACETAM'], 'generic_name': ['LEVETIRACETAM INJECTION'], 'manufacturer_name': [""Dr.Reddy's Laboratories Inc""], 'product_ndc': ['43598-635', '43598-636', '43598-637'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['INTRAVENOUS'], 'substance_name': ['LEVETIRACETAM'], 'rxcui': ['1193358', '1193360', '1193362'], 'spl_id': ['f5cfc6e1-79f3-bd25-5f66-9ea05bc47def'], 'spl_set_id': ['0a9234b7-46b1-8e6c-a992-90f86cfb6e00'], 'package_ndc': ['43598-635-52', '43598-635-10', '43598-636-52', '43598-636-10', '43598-637-52', '43598-637-10'], 'is_original_packager': [True], 'nui': ['N0000008486'], 'pharm_class_pe': ['Decreased Central Nervous System Disorganized Electrical Activity [PE]'], 'unii': ['44YRR34555']}",Drugs,96470,"Dr. Reddy's Laboratories, Inc.",107 College Rd E,,08540-6623,Voluntary: Firm initiated,,Nationwide in the USA,D-0365-2025,"Levetiracetam 0.75% in Sodium Chloride Injection 1,000 mg/100 mL (10 mg/mL), 1 x 100mL, Rx Only, Manufactured by: Gland Pharma Limited, Hyderabad, - 500 043 INDIA, Distributor: Dr. Reddy's Laboratories Inc., Princeton, NJ 08540, NDC 43598-636-52","4,010 bags","LABELING: LABEL MIX-UP: The infusion bag is incorrectly labeled as Levetiracetam in 0.82% Sodium Chloride Injection 500 mg/100 mL, while the aluminum overwrap packaging correctly identifies the product as Levetiracetam in 0.75% Sodium Chloride Injection 1,000 mg/100 mL.",2025-03-13,2025-04-16,,20250423,"Lot: A1540076, Exp 08/31/2026",,I,4010.0,True,False,False,False,False,False,False,False,False,False,True,True,False,cross_contamination,unknown,injections,,2025,10,2201048,14,High
Terminated,Lake Forest,IL,United States,Class III,{},Drugs,76661,"Pharmedium Services, LLC",150 N Field Dr Ste 350,N/A,60045-2506,Voluntary: Firm initiated,Telephone,Nationwide,D-0603-2017,"Buffered Lidocaine, 1%, In Sodium Bicarbonate 8.4%, 1 mL Total Volume in a 3 mL syringe, Local anesthetic use, Rx only, PharMEDium, Product code 2K2466",3879 syringes,Labeling; Label Mixup; outer packaging is incorrectly labeled as Buffered Lidocaine 1% instead of correctly as Buffered Lidocaine 0.9%,2017-01-27,2017-03-15,2017-03-16,20170322,"Lot Numbers:  170110030M, 170110029M and 170070058M",,III,3879.0,True,False,False,False,False,False,False,False,False,False,True,False,False,cross_contamination,syringes,unknown,48.0,2017,1,21962,5,Low
Terminated,Warren,NJ,United States,Class III,"{'application_number': ['M016'], 'brand_name': ['CHAPSTICK TOTAL HYDRATION MOISTURE TINT PEACHY KEEN'], 'generic_name': ['ZINC OXIDE'], 'manufacturer_name': ['Haleon US Holdings LLC'], 'product_ndc': ['0573-0871'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['TOPICAL'], 'substance_name': ['ZINC OXIDE'], 'spl_id': ['b16eb9b9-8dee-4552-b834-beb680153284'], 'spl_set_id': ['ef206fe7-2659-41dc-b117-380af704999b'], 'package_ndc': ['0573-0871-08', '0573-0871-11'], 'is_original_packager': [True], 'unii': ['SOI2LOH54Z']}",Drugs,85500,Glaxosmithkline Consumer Healthcare Holdings,184 Liberty Corner Rd,N/A,07059-6796,Voluntary: Firm initiated,Letter,Nationwide,D-1266-2020,"ChapStick Total Hydration Moisture + Tint + SPF15 Peachy Keen Net Wt. 0.08 OZ (2.2g) Marketed by: Pfizer, Madison, NJ 07940 USA, NDC 0573-0871-08",288 packages,Labeling: Not elsewhere classified: Observed separation in the secondary packaging in the blister and the backer card,2020-04-20,2020-05-13,2021-10-26,20200520,"Lot #: 9344AA, 9345AA",,III,288.0,True,False,False,False,False,False,False,False,False,False,False,True,False,packaging_defect,unknown,unknown,554.0,2020,1,18197,5,Low
Ongoing,Bridgewater,NJ,United States,Class II,"{'application_number': ['ANDA209755'], 'brand_name': ['CHLORPROMAZINE HYDROCHLORIDE'], 'generic_name': ['CHLORPROMAZINE HYDROCHLORIDE'], 'manufacturer_name': ['Amneal Pharmaceuticals NY LLC'], 'product_ndc': ['69238-1054', '69238-1056', '69238-1058', '69238-1060', '69238-1062'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['CHLORPROMAZINE HYDROCHLORIDE'], 'rxcui': ['991039', '991044', '991188', '991194', '991336'], 'spl_id': ['8c2ad75b-ee8b-4f55-b77f-c23a1a7cf5a2'], 'spl_set_id': ['aa086a21-de85-4b03-af58-49b70acf8cf0'], 'package_ndc': ['69238-1054-1', '69238-1056-1', '69238-1058-1', '69238-1060-1', '69238-1062-1'], 'is_original_packager': [True], 'upc': ['0369238105612', '0369238106213'], 'unii': ['9WP59609J6']}",Drugs,97438,"Amneal Pharmaceuticals, LLC",400 Crossing Blvd Fl 3,N/A,08807-2863,Voluntary: Firm initiated,Letter,Distributed Nationwide in the USA,D-0617-2025,"chlorproMAZINE Hydrochloride Tablets, USP, 50 mg, 100-count bottle, Rx Only, Manufactured by: Amneal Pharmaceuticals Pvt. Ltd., Oral Solid Dosage Unit, Ahmedabad 382213, INDIA; Distributed by: Amneal Pharmaceuticals LLC, Bridgewater, NJ 08807, NDC 69238-1058-1.","13,130 100-count bottles","Presence of a foreign substance.A specific lot of auxiliary polyester coil, used in product packaging was   detected with presence of a micro-organism. No micro-organism was detected on any tablets.",2025-08-18,2025-09-04,,20250910,"Lot: AM240147, AM240148, Exp Date 01/31/2027; Lot AM240664,  AM240665, Exp Date 04/30/2027.",,II,13130.0,False,True,False,False,False,True,False,False,False,False,False,False,False,sterility_breach,bottles,tablets,,2025,5,237275,24,Critical
Ongoing,Dublin,OH,United States,Class II,"{'application_number': ['ANDA090858'], 'brand_name': ['GABAPENTIN'], 'generic_name': ['GABAPENTIN'], 'manufacturer_name': ['Cardinal Health 107, LLC'], 'product_ndc': ['55154-3363', '55154-7992', '55154-7993'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['GABAPENTIN'], 'rxcui': ['310430', '310431', '310432'], 'spl_id': ['c5f4a9a6-33bb-4e3a-a8ac-ca41e8355b40'], 'spl_set_id': ['41844c21-9e2a-4332-a8ff-9b71ae9032b0'], 'package_ndc': ['55154-3363-0', '55154-7992-0', '55154-7993-0'], 'original_packager_product_ndc': ['0904-6665', '0904-6666', '0904-6667'], 'upc': ['0055154799300', '0055154799201', '0055154336307'], 'nui': ['N0000008486'], 'pharm_class_pe': ['Decreased Central Nervous System Disorganized Electrical Activity [PE]'], 'unii': ['6CW7F3G59X']}",Drugs,97087,The Harvard Drug Group LLC,7000 Cardinal Pl,,43017-1091,Voluntary: Firm initiated,Letter,Nationwide,D-0508-2025,"Gabapentin Capsules, USP, 100 mg, 10 capsules (10x1) per bag, Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, IN, 46268 USA, Distributed by Cardinal Health, Dublin, OH 43017, NDC 55154-3363-0","3,527 bags",Defective container; blister packaging inadequately sealed.,2025-06-19,2025-07-03,,20250709,"Lot# M05205A and M05205B, Exp Date 10/2026.",,II,3527.0,False,False,False,True,False,False,False,False,False,False,False,False,False,blister_seal,unknown,capsules,,2025,5,218246,13,High
Terminated,Shanghai,,China,Class III,{},Drugs,80753,"Huijing (Shanghai) Bio-tech Co., Ltd.",No 811 Gaofeng Rd.,,N/A,Voluntary: Firm initiated,Letter,Product was distributed to one distributor in VA,D-1076-2018,"Acne Treatment Pads (2% salicylic acid), packaged in a 50-count jar, OTC, Distributed by: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320, NDC 71537-001-02","75,000 pads",Subpotent drug: The product active ingredient level not matching the exact levels indicated on the packaging label.,2018-08-03,2018-08-10,2018-12-19,20180822,"Lot # 2458067, Exp 11/2019",,III,75000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,potency_issues,unknown,unknown,138.0,2018,1,26250,1,Low
Terminated,Parsippany,NJ,United States,Class III,"{'application_number': ['M006'], 'brand_name': ['CLEARASIL RAPID RESCUE DEEP TREATMENT PADS'], 'generic_name': ['SALICYLIC ACID'], 'manufacturer_name': ['RB Health (US) LLC'], 'product_ndc': ['63824-431'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['TOPICAL'], 'substance_name': ['SALICYLIC ACID'], 'rxcui': ['797892'], 'spl_id': ['29922bcf-4937-bc88-e063-6294a90a3002'], 'spl_set_id': ['2387e74a-312c-44bf-bda5-fc4ec1ce6208'], 'package_ndc': ['63824-431-90'], 'is_original_packager': [True], 'upc': ['0839977009200'], 'unii': ['O414PZ4LPZ']}",Drugs,92977,RB Health (US) LLC,399 Interpace Pkwy,N/A,07054-1133,Voluntary: Firm initiated,Letter,USA nationwide,D-1179-2023,"Clearasil Rapid Rescue Deep Treatment Pads (Salicylic Acid 2%), packaged in 90-count plastic jar, further packaged in case of 6 jars per case, Distributed by RB Health (US), Parsippany, NJ 07054, NDC 63824-431-90","6,072 cases/36,426 individual selling units",Labeling: Label Error on Declared Strength: The incorrect label on the back of the product packaging.,2023-08-29,2023-09-27,2025-04-22,20231004,"Lot # KT220211, Exp 07/2024",,III,6072.0,True,False,False,False,False,False,True,False,False,False,True,False,False,cross_contamination,unknown,unknown,602.0,2023,1,22611,5,Low
Ongoing,Columbia,MO,United States,Class II,{},Drugs,91674,Apollo Care,3801 Mojave Ct Ste 101,N/A,65202-4042,Voluntary: Firm initiated,E-Mail,MO,D-0487-2023,"Fentanyl 500mcg (2mcg/mL) and Ropivacaine HCl 250mg (1mg/mL) added to 250mL 0.9% Sodium Chloride, For Epidural Use Only, Rx only, 3801 Mojave Ct. Suite 101, Columbia, MO 65202, NDC 71170-950-25",215 bags,Lack of assurance of sterility: Suspected microbial growth present on external label packaging.,2023-02-08,2023-03-24,,20230405,Lot #: AC-016581,,II,215.0,False,True,False,False,False,False,False,False,False,False,False,False,False,sterility_breach,unknown,unknown,,2023,5,177747,15,High
Ongoing,East Brunswick,NJ,United States,Class III,"{'application_number': ['ANDA210432'], 'brand_name': ['PREGABALIN'], 'generic_name': ['PREGABALIN'], 'manufacturer_name': ['Rising Pharma Holdings, Inc.'], 'product_ndc': ['64980-410', '64980-411', '64980-412', '64980-413', '64980-414', '64980-415', '64980-416', '64980-417'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['PREGABALIN'], 'spl_id': ['ed8357e8-6f9d-4b09-b3f0-48417fe7f481'], 'spl_set_id': ['dbebfa61-0685-41b4-8364-00b8d8b73714'], 'package_ndc': ['64980-410-09', '64980-410-10', '64980-410-01', '64980-411-09', '64980-411-10', '64980-411-01', '64980-412-09', '64980-412-10', '64980-412-01', '64980-413-09', '64980-413-10', '64980-413-01', '64980-414-09', '64980-414-10', '64980-414-01', '64980-415-09', '64980-415-10', '64980-415-01', '64980-416-09', '64980-416-10', '64980-416-01', '64980-417-09', '64980-417-10', '64980-417-01'], 'is_original_packager': [True], 'upc': ['0364980413107', '0364980411103', '0364980415101', '0364980412100', '0364980416108', '0364980414104', '0364980410106', '0364980417105'], 'unii': ['55JG375S6M']}",Drugs,94642,"Rising Pharma Holding, Inc.",2 Tower Center Blvd Ste 1401,N/A,08816-1149,Voluntary: Firm initiated,N/A,Nationwide in the USA,D-0541-2024,"Pregabalin Capsules 50mg, 1000-count bottle, Rx Only, Manufactured for: Rising Pharma Holdings, Inc., East Brunswick, NJ 08816, Manufactured by: Laurus Labs Limited, Anakapalli-531011, India, NDC 64980-411-10",N/A,"Presence of Foreign Tablets/Capsules: Complaint received from a re-packager, American Health Packaging (AHP), where a foreign tablet was discovered in one of the bottles during packaging set up. Tablet identified as pantoprazole tablet 20mg.",2024-05-16,2024-06-04,,20240612,"Lot: 23132611, Exp 07/31/2026",,III,,False,False,False,False,False,True,False,True,False,False,False,False,False,foreign_substance,bottles,capsules,,2024,1,20000,10,Medium
